id,text_clean,text_clean_en
1.8453458040321352e+18,"   📣   Odpowiadając na pytanie postawione przez :

   💬   „Zło to zło, Stregoborze - rzekł poważnie wiedźmin wstając. - Mniejsze, większe, średnie, wszystko jedno, proporcje są umowne a granice zatarte. Nie jestem świątobliwym pustelnikiem, nie samo dobro czyniłem w życiu.…  ",Ładuję...
1.8451955461446866e+18,"UE 🇪  🇺 chwali się, że w POLSCE ma powstać 49 CENTRÓW INTEGRACJI CUDZIEMCÓW   ❗   ️ ",Ładuję...
1.8451837642107786e+18,"Gen. Andrzejczak jeśli jest taki jest skory do przelewania  krwi polskich żołnierzy w obcych interesach niech sam da przykład.  
Natychmiast wypad do dowolnie wybranego okopu na Ukrainie. ","Gen. Andrzejczak, if he is willing to shed the blood of Polish soldiers for foreign interests, let him set an example.  
Immediately go to any trench of your choice in Ukraine. "
1.8451823245408914e+18,"  Gen. Andrzejczak jeśli jest taki jest skory do przelewania  krwi polskich żołnierzy w obcych interesach niech sam da przykład. 
Natychmiast wypad do dowolnie wybranego okopu na Ukrainie.","  Gen. Andrzejczak, if he is willing to shed the blood of Polish soldiers for foreign interests, let him set an example. 
Immediately go to any trench of your choice in Ukraine."
1.844822504436601e+18,Rozmowę można obejrzeć tutaj:,Ładuję...
1.844815783513461e+18,"Dzisiejsza debata w  - zachęcam do oglądania.    🙂   

  #debata ",Ładuję...
1.8446837612307502e+18,"  Najbliższy z wolnymi miejscami to:


We Wrocławiu organizujemy dość często pokazy. Proszę obserwować terminarz na stronie ","  The nearest one with available places is:


We organize shows quite often in Wrocław. Please watch the schedule on the website "
1.844673588084769e+18,"19. Posiedzenie Sejmu RP dzień 3.    🫡   
Zapraszam do śledzenia przemówień posłów     👑    ",Ładuję...
1.8446624495864668e+18,"   🛑   Sąd jasno orzekł: Kurski, Czabański i Olszewski mogą być nazywani przestępcami.
   ‼   ️TVP oszukiwało Polaków, manipulując informacjami   ‼   ️
W trakcie kampanii wyborczej do Sejmu, publiczna telewizja całkowicie zablokowała dostęp Konfederacji, podczas gdy inne partie miały pełne prawo…  ",Ładuję...
1.844480577623425e+18,"Sikorski: nie Musk, a Polska finansuje Starlinki dla Ukrainy.

Jak widać zasadne było moje pytanie skierowane dzisiaj do min.   w czasie debaty budżetowej, w jakiej proporcji astronomiczne wydatki na obronność idą na wzmacnianie zdolności bojowej Wojska Polskiego a… ","Sikorski: Not Musk, but Poland finances Starlinks for Ukraine.

As you can see, my question addressed to mine today was justified.   during the budget debate, what proportion of the astronomical defense spending goes to strengthening the combat capabilities of the Polish Army and... "
1.8444479565499146e+18,"   💸   W tym samym czasie, kiedy   bije na alarm z powodu drastycznego zwiększenia zadłużenia krajowego, rząd postanawia dofinansować Urząd do spraw Cudzoziemców kwotą 19,6 mln zł z rezerwy celowej.

   ❗   ️Powód? Urząd zanotował dziurę w budżecie, spowodowaną nadmierną… ","   💸 At the same time, when the alarm is raised about the drastic increase in national debt, the government decides to finance the Office for Foreigners with PLN 19.6 million from the special-purpose reserve.

   ❗️Reason? The office recorded a hole in the budget due to excessive… "
1.84439842559878e+18,"O naszym stanowisku w sprawie budżetu można przeczytać w artykule  

   
",Ładuję...
1.8443637295695508e+18,"Rozmawiamy o projekcie budżetu na 2025 r. 
   👉   Całość wystąpienia: 

   ",Ładuję...
1.8441185464749919e+18,Podżegacze wojenni traktują ludzi jak półgłówków.    👇,Ładuję...
1.8440705221301786e+18,"Konferencja , która nie powinna umknąć Państwa uwadze! 
   👉   Wraz z  składamy zawiadomienie do prokuratury! Wyroki w sprawach związanych z działalnością ABW potwierdzają nasze stanowisko   ‼   ️
   👉    ABW, zamiast chronić Polskę, łamie konstytucję, prześladując…  ","A conference that should not escape your attention! 
   👉 Together with us, we submit a notification to the prosecutor's office! Judgments in matters related to the activities of the Internal Security Agency confirm our position ‼ ️
   👉 Instead of protecting Poland, ABW violates the constitution by persecuting...  "
1.8440337621807145e+18," 🇺  🇦  🇷  🇺 Pozwolić Ukraińcom na samodzielne ekshumacje, to jak pozwolić Rosjanom na samodzielne badanie wraku Tupolewa.

   ✈   ️„Prawdę” dostaniemy wyczyszczoną i pociętą na kawałki. "," 🇺 🇦 🇷 🇺 Letting the Ukrainians do the exhumations on their own is like letting the Russians examine the Tupolev wreck on their own.

   ✈ ️We will get the ""truth"" cleaned and cut into pieces. "
1.8440071234344755e+18,Różne ludzie mają priorytety...    🙃,Ładuję...
1.843976406549836e+18,"Pozostajemy w temacie branży meblarskiej...ta natomiast ma się dobrze.    🙃   

  ",Ładuję...
1.8436491976706255e+18,"   👉   30 września skończył się okres obowiązywania wprowadzonego 8 stycznia tego roku przez szefową resortu od zawracania kijem Wisły, czyli Ministerstwa Klimatu i Środowiska, moratorium na wycinkę lasów w 10 obszarach o łącznej powierzchni liczącej ponad 100 tys. ha. 
   👉    Nadal…  ",Ładuję...
1.8435600441238282e+18,"   📻   Oto co mówiłem w   na temat stanu prawnego w Polsce, prawie miesiąc temu. 

   🙅   Od tego czasu doszło tylko do jeszcze większej anarchizacji i bezprawia.

  będzie powtarzać do skutku. Rozwiązaniem jest #ResetKonstytucyjny. ","   📻 Here's what I said about the legal situation in Poland almost a month ago. 

   🙅 Since then, there has only been even greater anarchization and lawlessness.

  will repeat until successful. The solution is #ConstitutionalReset. "
1.8433847823545876e+18,"To się dzieje, kiedy polska firma zdobywa przewagę nad zagraniczną konkurencją - kontrole, podatki, utrudnienia.

Rząd warszawski jest polski tylko z nazwy. ","This happens when a Polish company gains an advantage over foreign competition - inspections, taxes, difficulties.

The Warsaw government is Polish only in name. "
1.8433408683563133e+18," 🇵  🇱 Dziś mija 106 lat od ogłoszenia Deklaracji niepodległości Królestwa Polskiego.
Warto pamiętać, że Polska nie tylko była królestwem przez większość swojego istnienia, ale i odrodziła się jako królestwo.

   👑   Jako   dążymy do tego, by Polska znów stała…  "," 🇵 🇱 Today marks 106 years since the announcement of the Declaration of Independence of the Kingdom of Poland.
It is worth remembering that Poland was not only a kingdom for most of its existence, but was also reborn as a kingdom.

   👑 As we strive to make Poland stand again...  "
1.8429601582318228e+18," 🇵  🇱 Powódź dotknęła nie tylko wielu mieszkańców, ale też wiele firm. Jednym z  nich są niestety Cukry Nyskie — jedno z pierwszych polskich  przedsiębiorstw, które otworzyło się na Ziemiach Odzyskanych. 
W dodatku  100% kapitału wciąż pozostaje w polskich rękach.

   🌊   Pomimo znacznych…  ",Ładuję...
1.8428671552613788e+18,"Rząd wprowadza moratorium na wycinkę lasów bez jasnych analiz, ignorując głos branży i zdrowy rozsądek! Polski przemysł drzewny prowadzony jest na skraj przepaści.    😡       ‼   ️


 ","The government is introducing a moratorium on forest clearing without clear analyses, ignoring the voice of the industry and common sense! The Polish wood industry is being led to the brink of collapse.    😡 ‼ ️


 "
1.842609167317807e+18,"Drodzy Państwo, niebawem bo najbliższą niedzielę 
   📅   13 października 
   ⏰   o godzinie 16:00 
odbędzie się kolejny pokaz filmu w reżyserii  ""Gietrzwałd 1877. Wojna światów"" na terenie woj. opolskiego.
Tym razem Strzelce Opolskie - serdecznie zapraszam   ‼   ️   👇    ","Ladies and Gentlemen, soon, next Sunday 
   📅 October 13 
   ⏰ at 4:00 p.m 
another screening of the film directed by ""Gietrzwałd 1877. The War of the Worlds"" will take place in the province. Opole province.
This time Strzelce Opolskie - I cordially invite you ‼ ️ 👇    "
1.8425131925739484e+18,Tylko jeśli rząd będzie usilnie próbował wepchnąć nas w obcą wojnę.,Ładuję...
1.8425027107229699e+18,"   💪   Mocny zespół   w #Łódź.

 🇵  🇱 Życzę przewodniczącemu , członkom zarządu, i wszystkim członkom okręgu powodzenia w dalszej pracy dla Polski. ","   💪 Strong team in #Łódź.

 🇵 🇱 I wish the chairman, board members, and all district members good luck in their further work for Poland. "
1.8422679750025713e+18,"Zniesienie podatku od spadku jest zdecydowanie słusznym postulatem — cała   od lat nazywa go „podatkiem od wdów i sierot”.
Nie mogłem się jednak podpisać pod ustawą, która zmiany prawne uzasadnia promocją związków nieformalnych i homoseksualnych. ","The abolition of the inheritance tax is definitely a valid demand - everyone has been calling it a ""tax on widows and orphans"" for years.
However, I could not sign the bill that justifies legal changes by promoting informal and homosexual relationships. "
1.842118336903074e+18,"   🧯   Gdyby ktoś próbował wyeliminować zagrożenie pożarowe na korytarzu, omyłkowo polewając je wódką, mogłoby się to okazać przeciwskuteczne.

   🥂   Całe szczęście, że mamy rząd, który zajmuje się sprawami tak istotnymi, jak tępienie opakowań alkoholu, które odbiegają od normy...    🤡     ",Ładuję...
1.8418627409540221e+18,To już pół roku minęło od tej zbrodni ze strony żołdaków państwa leżącego w Palestynie.,Ładuję...
1.8417340887653993e+18,"Ekohipokryzja pełną parą!

  ",Ładuję...
1.8415396116815708e+18,"   🪖    Przykre, ale prawdziwe. Tak komunistyczni zbrodniarze starali się pogrzebać pamięć o polskich bohaterach. 

   🕯   ️Jaruzelskiego już niestety nie rozliczymy. Możemy jednak na złość dzisiejszym wrogom ojczyzny, dalej oddawać hołd żołnierzom wyklętym, którzy do końca walczyli o…  ",Ładuję...
1.8414198272414848e+18,"   🗄   ️Dożyliśmy czasów, w których rządząca w Polsce „elita” publicznie szyci się swoją pogardą wobec sądów, sędziów i obowiązującego w Polsce prawa.

   🧑   ‍   ⚖   ️Adam Bodnar nie znalazł żadnych legalnych metod na podważenie decyzji Izby Karnej Sądu Najwyższego, więc postanowił... jej…  ",Ładuję...
1.841396805323666e+18,"Wczoraj mówiliśmy o naszych poprawkach do specustawy. 
Naprawdę mieliśmy nadzieję, że chociaż w takiej sytuacji Koalicja Tuska będzie chciała działać w interesie Polaków. 
Nasza poprawka dot. umożenia składek ZUS dla przedsiębiorstw dotkniętych powodzią, była naturalnym…  ","Yesterday we talked about our amendments to the Special Act. 
We really hoped that at least in such a situation, Tusk's Coalition would want to act in the interests of Poles. 
Our amendment regarding the cancellation of ZUS contributions for companies affected by the flood was a natural…  "
1.8411616728340972e+18,"   ‼   ️Odroczenie składek ZUS to nie pomoc a zadłużanie ludzi, którzy zostali poszkodowani powodzią. 
   ‼   ️  składa poprawki do specustawy powodziowej!

Pełna wersja wypowiedzi   👉   

 
#powódź #opole #opolskie ","   ‼ ️Deferral of ZUS contributions is not help but debt for people affected by the flood. 
   ‼ ️ submits amendments to the special flood act!

Full version of the statement 👉   

 
#flood #opole #opole voivodeship "
1.8410951345547802e+18,"Zaproszenie kierowane do rodziców Wrocławia i okolic.
Serdecznie polecam! ",Ładuję...
1.8408379815923062e+18,"Kolejna porcja umów na wynajem sal projekcyjnych podpisana.

Wszystkich zainteresowanych obejrzeniem filmu ""Gietrzwałd 1877. Wojna światów"" zapraszam na stronę
pokazów:  ","Another portion of contracts for the rental of screening rooms signed.

Anyone interested in watching the film ""Gietrzwałd 1877. The War of the Worlds"" is invited to visit the website
shows:  "
1.8408353509539108e+18,"Oszukujecie ludzi na każdym kroku. 
Chętnie dowiemy się jak wyglądał proces rekrutacji na te stanowiska. 

  ","You are deceiving people at every turn. 
We will be happy to find out what the recruitment process for these positions was like. 

  "
1.8407985748099072e+18,📽   ️ Dziękuję #Kielce i #Świętokrzyskie za ciepłe przyjęcie!,Ładuję...
1.8407390476830395e+18,"Wielokrotnie już poruszaliśmy temat absurdów w polskich służbach.  Minął już rok od początku kadencji obecnego rządu, a poprawy wciąż brak. Niestety, na razie nie widać na horyzoncie nadchodzących pozytywnych zmian.    🙂   

  …  ","We have already discussed the topic of absurdities in the Polish services many times.  A year has passed since the beginning of the current government's term of office, and there is still no improvement. Unfortunately, there are no positive changes on the horizon for now.    🙂   

  …  "
1.8406376008659397e+18,"Jak widać, wszędzie na świecie się opłaca, tylko nie w Europie, a zwłaszcza nie w Polsce    🙃    ",Ładuję...
1.8404822093562967e+18,"Dziękujemy za liczne przybycie na Opolską premierę filmu Gietrzwałd 1877. Wojna światów.
Cieszę się, że jako poseł Ziemi Opolskiej miałem okazję zaprezentować lokalnej społeczności film mojej produkcji w reżyserii  . 

Na wszystkie najbliższe pokazy w Opolu nie ma…  ","Thank you for coming to the Opole premiere of the film Gietrzwałd 1877. War of the Worlds.
I am glad that, as an MP from the Opole region, I had the opportunity to present my film directed by . to the local community. 

There are no tickets for all upcoming shows in Opole...  "
1.8400627229242742e+18,"W Kielcach trwa Świętokrzyska premiera filmu Gietrzwałd 1877. Wojna światów. Już jutro odbędzie sie premiera Opolska.

 #opole #Kielce  ","The Świętokrzyska premiere of the film Gietrzwałd 1877. War of the Worlds takes place in Kielce. The premiere of Opole will take place tomorrow.

 #opole #Kielce  "
1.8397462190625423e+18,Dzieje się na północnym wschodzie! Zapraszamy na pokazy    📽   ️,Ładuję...
1.8397430711325166e+18,"Po co Pani  robi konferencję prasową, skoro może przejść się na rozmowę do gabinetu swojego przełożonego?

No, chyba że nie chodzi o rzeczywiste działanie w obronie przyrody, tylko o zrobienie szopki dla mediów.

Wasi wyborcy zapewne liczyli, że współtworząc rząd,…  ","Why are you having a press conference when you can go to your supervisor's office for an interview?

Well, unless it's not about actual action in defense of nature, but about making a show for the media.

Your voters probably hoped that by co-forming the government...  "
1.8397288143661015e+18,"To dla mnie wiele znaczy! 
Bardzo dziękuję za to, że tak wiele osób obserwuje moje działania, za każde udostępnienie i komentarz. 
Razem możemy więcej!    🤝    🇵  🇱 

  ","This means a lot to me! 
Thank you very much for so many people following my activities, for every share and comment. 
Together we can do more!    🤝 🇵 🇱 

  "
1.8396150926288776e+18,"Władza nie zapewniła odpowiedniej infrastruktury na wypadek takich sytuacji, ale chętnie wykorzystują cudzą, a jeszcze chętniej nakładają na nią podatki. SKANDAL!

  ","The authorities have not provided adequate infrastructure for such situations, but they are happy to use other people's infrastructure, and even more willing to impose taxes on it. SCANDAL!

  "
1.8396002244335086e+18,"   ⛔   ️Jak koalicja 15 października chce ułatwić odbudowę po powodzi? Otóż poprzez uniemożliwienie niesienia pomocy policjantom, funkcjonariuszom SG i strażakom, którzy się nie zaszczepią.

   👎   Czyli tutaj niestety typowo — mundurowym wiatr w oczy, koncernom farmaceutycznym mannę z…  ",Ładuję...
1.8395587444404966e+18,"Najważniejsze, że można zrobić aborcję z byle świstkiem od psychiatry, inne zabiegi są nieistotne. ",Ładuję...
1.8393969837586312e+18,Ukraińcy.,Ładuję...
1.8393779269887022e+18,"   ‼   ️UWAGA    ‼   ️ Kolejne utrudnienia dla firm i krok w stronę ubóstwa Polaków! 

EUDR=Tona biurokracji, kary wedle interpretacji, dodatkowe koszty i stracony czas. 
Jak poradzą sobie z tym Polscy przedsiębiorcy? Dlaczego musimy uczestniczyć w tej chorej drodze do… ","   ‼ ️ATTENTION ‼ ️ More difficulties for companies and a step towards poverty for Poles! 

EUDR=A ton of bureaucracy, interpreted penalties, additional costs and wasted time. 
How will Polish entrepreneurs cope with this? Why do we have to participate in this sick journey to... "
1.8393248944477391e+18,"   ❗   ️Znany ojkofob, prof. Jan Grabowski, całą swoją rozpoznawalność zbudował kosztem nieustannych ataków na własną ojczyznę i własny naród.

 🇵  🇱 Tym  razem posunął się zbyt daleko, nawet jak na siebie samego, postulując  oderwanie części terytorium od Rzeczypospolitej Polskiej i…  ",Ładuję...
1.8392109992382794e+18,"Pytanie w sprawie rezygnacji z inwestycji, która zakładała budowę zbiorników retencyjnych w Racławicach Śląskich, Ścinawie i Morowie   ‼   ️
   ‼   ️  Mieszkańcy nie chcą ponownie walczyć o swój majątek.   ‼   ️


 #Powodz2024 #opolskie ","A question regarding the resignation from the investment, which assumed the construction of retention reservoirs in Racławice Śląskie, Ścinawa and Morowo!!
   ‼ ️ Residents do not want to fight for their property again.   ‼ ️


 #Flood2024 #Opole Province "
1.8389353883809426e+18,"   ❗   ️Rząd #PiS za aferę wizową należy z całą surowością rozliczyć.

   ⛔   ️Nie uważam jednak, że Panowie z ekipy #PO/#KO mają moralne prawo, by kogokolwiek pouczać w temacie przyjmowania imigrantów, szacunku wobec polskiego wojska i straży granicznej, kanałów przerzutowych rosyjskiej…  ",Ładuję...
1.8386903631809823e+18,Wtedy też chodziło o niekompetencję rządu podczas powodzi.,Ładuję...
1.838656043020071e+18,"   🦫   Donald Tusk wreszcie znalazł winnych powodzi. Okazały się nimi bobry! 
Te  same bobry, których (przez odmowę myśliwych) nie udało mu się  odstrzelić za poprzednich rządów PO w 2010 roku, powracają, by sabotować  jego rząd ponad dekadę później!

   🎖   ️Czy czekają nas wydarzenia…  ",Ładuję...
1.838614803918586e+18,"Prezydent  🇵  🇱  uważa, że każdy, kto blokuje wejście Ukrainy do Unii, realizuje politykę Putina.

Nie wpadł na to, że można realizować politykę nie ukraińską  🇺  🇦  czy rosyjską  🇷  🇺 , ale POLSKĄ 🇵  🇱 . ","The president 🇵 🇱 believes that anyone who blocks Ukraine's entry into the EU is implementing Putin's policy.

It didn't occur to him that it was possible to implement not Ukrainian 🇺 🇦 or Russian 🇷 🇺 policy, but POLISH 🇵 🇱 . "
1.8386085716190333e+18,"Receptą na stagnację mają być Europejski Zielony Ład, Fit for 55 i zakaz sprzedaży spalinowych aut    👌    ","The solution to stagnation is the European Green Deal, Fit for 55 and a ban on the sale of combustion cars 👌    "
1.8384881370409044e+18,"Czym się różni PiS z przybudówkami od PO z przybudówkami?

   💶   #PO wpuszcza setki tysięcy nielegalnych imigrantów, bo Niemcy im każą.
   💵   #PiS wpuszcza setki tysięcy „legalnych” imigrantów za skorumpowane pieniądze.

A pomyśleć, że niektórzy się dziwią, gdy mówimy „PiS-PO jedno zło”.",Ładuję...
1.8382859490020232e+18,"Tamtego dnia Pan w krawacie wywiązał się ze swoich kompetencji Prezesa Rady Ministrów, podczas gdy Pan bez krawata nawet na chwilę nie przestał uprawiać propagandy sukcesu.

   ❌   Zielona wyspa Donalda Tuska tonie w zderzeniu z rzeczywistością. ","That day, the man with the tie fulfilled his competences as the Prime Minister, while the man without the tie did not stop promoting success even for a moment.

   ❌ Donald Tusk's green island is colliding with reality. "
1.838282307746034e+18,"   ‼   ️Obłuda i zakłamanie #PiS niestety nie zna granic, nieraz dosłownie. 

 🇺  🇦 Przez 8 lat prowadzili najbardziej proukraińską politykę w historii Polski, a podczas zeszłojesiennych wyborów przedstawiali się jako ukrainosceptyczni.

   ☪   ️Od przynajmniej dekady przedstawiają się jako… ",Ładuję...
1.8381382233792353e+18,😉,😉
1.8377103825987054e+18,Oto w jakim stroju ukraiński dziennikarz przyjął w Kijowie polskiego Ministra Spraw Zagranicznych.,Ładuję...
1.83767429364523e+18,Nie przed tylko w trakcie. Trzymajmy się faktów.,Ładuję...
1.8374969984186944e+18,"Jeszcze do niedawna takie absurdalne sytuacje obserwowaliśmy  w Anglii, gdzie za wpisy w mediach społecznościowych zatrzymywano obywateli.
Niestety ataku na wolność słowa doczekaliśmy się kilka dni temu w Polsce. Miała tutaj miejsce wyraźna nadinterpretacja…  ","Until recently, we observed such absurd situations in England, where citizens were detained for posting on social media.
Unfortunately, we saw an attack on freedom of speech a few days ago in Poland. There was a clear misinterpretation here...  "
1.837456941695558e+18,"   ✅    Ministerstwo zwalnia z podatku dochodowego przedsiębiorców poszkodowanych przez powódź! - tak byłoby w normalnym państwie    😏   

   ⛔   ️ W III RP jest sponsoring zakupu kas fiskalnych, żeby rząd od powodzian mógł ściągać podatki. WSTYD!    🤯    ","   ✅ The Ministry exempts entrepreneurs affected by the flood from income tax! - that's how it would be in a normal country 😏   

   ⛔️ In the Third Polish Republic, there is sponsorship for the purchase of cash registers so that the government can collect taxes from flood victims. SHAME!    🤯    "
1.8373584708754637e+18,"Myśleli Państwo, że więźniami politycznymi uśmiechniętej walczącej demokracji będą jedynie zasłużeni PIS-owcy?

Nic z tego! Młody Polak zatrzymany za to, że powiedział, co myśli.

Za MYŚLOZBRODNIĘ. ","Did you think that only distinguished PIS members would be political prisoners of a smiling, fighting democracy?

Nothing! A young Pole detained for saying what he thought.

For THOUGHT CRIME. "
1.8371210980490038e+18,"   💸   Jako obywatele oddajemy państwu ponad 61% naszej pensji — wynika z badań Warsaw Enterprise Institute.

   💰   W zeszłym roku liczba ta oscylowała wokół 60%. Pomimo znacznego zwiększenia zadłużenia skarbu państwa względem lat poprzednich, obserwujemy również wzrost obciążeń… ",Ładuję...
1.8370412178648765e+18,"Wspaniałe wieści!
Niezwykle mi miło, że ten tak bardzo ważny dla mnie film, cieszy się państwa zainteresowaniem.

   📽   ️Zapraszamy na kolejne pokazy! ","Great news!
I am extremely pleased that this film, so important to me, enjoys your interest.

   📽 ️We invite you to the next shows! "
1.8369799007727455e+18,"   ❗   ️Ważne   ❗   ️

Ekoterroryści ISTNIEJĄ. 

Blokują inwestycje, wyłączają kolejne wartościowe tereny na rzecz „ochrony przyrody”. Hamują rozwój Polski. Opłacani z Niemiec.
 
Posłuchajcie Państwo sami 
 ","   ❗️Important ❗️

Eco-terrorists EXIST. 

They block investments and exclude further valuable areas in favor of ""nature protection"". They hinder Poland's development. Paid from Germany.
 
Listen for yourself 
 "
1.8367296792034345e+18,"Ludzie stają się coraz bardziej odporni na manipulację mediów, co stanowi wyzwanie dla partii politycznych, które swoją pozycję zbudowały na kontroli nad przekazem w mediach publicznych.

  ","People are becoming more and more resistant to media manipulation, which is a challenge for political parties that have built their position on control over the message in public media.

  "
1.836719210619114e+18," Od kiedy Prezesowi Rady Ministrów wypada publicznie występować w dresowej bluzie ze sklepu pamiątkowego?
Proponuję utrzymać pewien savoir vivre w ubiorze."," Since when is it appropriate for the Prime Minister to appear in public wearing a sweatshirt from a souvenir shop?
I suggest maintaining a certain savoir vivre in your clothes."
1.836717424529363e+18,🇪  🇺   do unijnych ekoterrorystów    👇,Ładuję...
1.8366489673223867e+18,"   🪖    Donald Tusk zainspirował się Włodymyrem Zełeńskim i zaczął kreować sobie wizerunek „przywódcy walczącego”. 
Gdy wybuchła wojna, ukraiński prezydent zrzucił garnitur i od tego czasu pokazuje się wszędzie wyłącznie w podkoszulkach i bluzach na wojskową modłę.

   🌊   Polski, dzięki…  ",Ładuję...
1.8365130307308708e+18,Mieszkańcy Wrocławia i okolic - serdecznie polecam i zapraszam   ‼   ️,Ładuję...
1.8364439758314952e+18,Nasz  🇵  🇱 głos Eurokołchozie    🧯      👇,Ładuję...
1.83638646682751e+18," 🇺  🇸 Za niedoszłym zamachem na Donalda Trumpa stał pięćdziesięcioletni Ryan Routh. Strzelając do kandydata na prezydenta, chciał walczyć w obronie demokracji.

   ❗   ️O tym, że Trump to przyszły dyktator, którego należy powstrzymać za wszelką cenę, przekonywały amerykanów zarówno media,…  ",Ładuję...
1.8362813140830336e+18,"Tak się kończy budowanie „polskiej” narracji pt. „Ukraińcy umierają za nas”. 

Wkrótce nasi wschodni sąsiedzi przyjdą z pretensjami, że ginęli PRZEZ NAS.

Wschodni sąsiedzi uzbrojeni przez nas po zęby… ","This is how the construction of the ""Polish"" narrative ends. ""Ukrainians are dying for us."" 

Soon our eastern neighbors will come and complain that they died BECAUSE OF US.

Our eastern neighbors are armed to the teeth... "
1.8360539888038177e+18,"   🚚   Za wszystkie transporty humanitarne (w tym te z pomocą dla powodzian) w Polsce trzeba płacić... oczywiście oprócz tych jadących na Ukrainę.

Stała polityka „polskiego” rządu to:
   ✅   na Ukraińców wydawać  🇺  🇦 
   ❌   na Polakach zarabiać  🇵  🇱  ","   🚚 All humanitarian transports (including those with help for flood victims) in Poland have to be paid for... except for those going to Ukraine, of course.

The permanent policy of the ""Polish"" government is:
   ✅ spend 🇺 🇦 on Ukrainians 
   ❌ make money on Poles 🇵 🇱  "
1.8360505090456576e+18,"   ‼   ️Nawet 30% podatku od rocznych przychodów lotnisk użytku publicznego - takie działania doprowadzą je do bankructwa!   ‼   
Powódź, która dotknęła Opolszczyznę i Dolny Śląsk pokazuje, że tego typu infrastruktura jest niezwykle istotnym punktem operacyjnym i powinna być wspierana.…  ",Ładuję...
1.8360211416865915e+18,"Lotnisko Aeroklubu Opolskiego. Całą noc wojskowe śmigłowce Mi17 brały udział w umacnianiu wałów w Nysie. Natomiast trzy Sokoły uczestniczyły w ewakuacji szpitala w Paczkowie.
Brawo dla społeczności Aeroklubu Opolskiego za udostępnienie infrastruktury dla tej ważnej operacji. ",Ładuję...
1.8360096110166797e+18,Laudetur Jesus Christus!,Laudetur Jesus Christ!
1.8358855895369528e+18,"Ukraina otrzymała od PO-PiS grube miliardy złotych. Podobnie jak szczepionkowe mafie. 

Dla dotkniętych powodzią Polaków rząd proponuje kredyty. ","Ukraine received billions of zlotys from PO-PiS. Just like the vaccine mafias. 

The government is offering loans for Poles affected by the flood. "
